"prod","title","format","stars","comment"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","You won't believe how good it sounds.","Style: BrainFreeze Edition",5,"You won't believe how good the sound is. We re-did our kitchen a few years ago and had nice speakers and a sub-woofer installed in the ceiling over the chairs at the island. Best decision we ever made, we play music through AirPlay from our Apple devices, and route the TV's output through them and it's so easy to hear the dialog. So what!?This little speaker is so good, half the time we use it instead of our fancy overhead speakers. Best of all, you can get the Megaboom app for iPhone and Android and yes *two* at once to get stereo. I haven't done this, but the  two friends whose kids I gave the 'UE Boom 2', one each; they paired them at the ski cabin they rented and said it was amazing.Excellent product."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Fantastic sound from a hardy, waterproof, rugged speaker!","Style: Cherrybomb Edition",5,"I absolutely love my new UE Boom 2 Wireless Bluetooth speaker!  I did lots of research and was thinking about getting a Bose, but I am so happy I got this one!.  I got this one as it seemed more rugged.  It is waterproof and will be great to take camping and other places with me.  I love that it can team with other peoples' UE Boom 2's.  It has a fantastic sound to it; much better than I would have expected.  I cannot imagine Boise being that much better.  I've heard the sound from the Boise is better, but the sound and volume capacity on this one are fantastic!  It is easy to sync with  and easy to use!  It has such fun colors too!"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Awesome. Just awesome.","Style: Phantom Edition",5,"I absolutely adore the Boom 2. I am using these in small conference room spaces currently for webinars and other web conferencing. The sound quality, both in and out, is great. The ability to pair two has made these viable in larger spaces and has helped us limit the need to speak louder than normal for others to hear on the other end of a web call. Plus, when it's time to put on some of our favorite jams, they thump with the best of them."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Amazing sound and range","Style: Phantom Edition",5,"I received this speaker through a deal with Verizon.  This speaker syncs quickly with our iPad 2, Droid turbo, and Moto x.  The range is fantastic.  I can leave my phone in any room in our house and take the speaker to any other room and even outside and it stays connected.  I'm not an audiophile but in my opinion the sound is great.  Music sounds amazing and audio books sound like the narrator is sitting in the room with you.  It has a nice feature where it will turn off automatically if you are no longer listening to anything so no more battery drain!  The price is a bit higher than I would have paid had I not gotten a deal but I'm very happy with this speaker!"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","So worth it!","Style: Tropical Edition",5,"I was a little leery about paying this much money for a ""smallish"" Bluetooth speaker. But, these seemed to be well-regarded, and I wanted a new speaker to take on a week's vacation with me.Soooooo glad I got this thing! The sound is great - clear sound and enough bass to fill a good sized room easily! The battery lasted a whopping long time (using it several hours a day throughout the week's vacation, and I only had to recharge towards the end of the week)! The thing feels very tough and I'm digging the funky color-combo I got mine in.I traded up from about a $40 Bluetooth speaker that's probably half the size of this thing. But I think I got sound that's way more than twice as good as what I had before! I think this thing is worth every penny I paid for it!"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Fantastic sound and build quality","Style: Yeti Edition",5,"The sound from this BT speaker is fantastic!  Crisp highs, great mids and vocals, and nice bass (although this would be the weakest range since this is not a large speaker, but still very good).  I have been impressed with just how good it really sounds.  It's built tough, syncs quickly, and is very portable.  Battery life seems to be as UE has stated.  I have no complaints and only praise for this speaker.  Would defnitely turn around and buy another without question."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Love it!!","Style: Phantom Edition",5,"So I just picked this up 2 days ago and I love it!! I have been a fan on the original UE boom for about 2 years and didn't realized they released a new model. Right when I found out I could not wait and instead I went to a local store to pick it up. Normally I would buy through amazon but could not wait for shipment to arrive. Lets just say there is a difference! The sound is a little bit more crisp and when you do compare between the old model and new of the UE boom you notice that it is louder. This is from just comparing it for about 5-10 minutes. Also I am not an expert or anything. But I can tell a difference in the sound quality and also the loudness. I am pretty happy with it so far.  It feels very sturdy and is similar size to the previous model. The only thing I would say is I am not sure about the battery life. The original UE boom they said it last about 15 hours but that is playing low music. I play mine pretty loud normally because I am at social events and it last about 3 hours. Well now this new model is more powerful and even louder so lets see how long the battery life will be. Either way I am happy with it and would recommend."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","UE Boom 2 Speaker Provides, Rich, Full, Stereo Sound on the go! Great Battery Life! A Must Have!","Style: Phantom Edition",5,"*************Update 2/14/16*******************************After less than 6 months, this speaker will no longer hold a charge. Amazon doesn't allow changes in the ratings, but I can no longer recommend this product. It is ridiculous that a supposed well made product can't last 6 months. Find another speaker & skip this.This Logitech Wireless Bluetooth Speaker is awesome! It arrives in a nice tube tucked inside an outer sleeve. The tube opens to show the speaker on one side and a compartment containing an informational insert, charging cable and adapter on the other. The speaker itself weighs only a few pounds and is very comfortable to hold in your hands. The soft rubber grip is very comfortable. It is also easy to clean and waterproof. It turns on by pressing the LED indentation at the top. A sound like bongo drums alerts you that the speaker is on. There is a second small round indentation above the LED turns the Bluetooth feature on. There is a companion app that you can download to provide interaction with the speaker. The app is fantastic! You can check the battery status (you are supposed to be able to check on the speaker itself by pressing on the front, but I could not get the right combination.) in app and it also shows next to my battery icon on my phone. The app gives instructions, allows you to connect to several speakers at one time, balance the EQ, set alarms and more. It also controls updates, which are wireless. Updating requires your device to be near and only take a few minutes, with the speaker restarting soon after. Pairing is easy and smooth. The sound is incredible! Rich, full, stereo sound is wonderful! I use mine at work since the speaker died and it sounds incredible. The battery life is pegged at 15 hours. I play mine for about 7 hours at work and it uses little power. I now use this more than my old Sony that I used with my old iPhone 4. Old iPhones can be great for music, I use them for music, like an iPod. Lightweight and easy to carry and use, This speaker is awesome! I didn't think I would like it, but I really love this. I highly recommend this."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Almost Perfect","Style: Phantom Edition",4,"PROS:-Loud!-Waterproof-Tough-Compact - This thing is hardly bigger than my Braven 570, but its 3x as loud-App with great features-Ability to pair 2 speakers together-GREAT Bluetooth range-Crazy battery lifeCONS:-At volumes >85% the bass really falls off and distortion starts to increase-At full volume the speaker attempts to reduce distortion by suppressing some sounds, which effectively distorts the sound anyway-Speaker has to stand on its end, which is not very stable. You can lay it on its side, but then it rolls around very easily. Really wish it had some sort of kickstand or something.-(very minor) The packaging it comes in is obnoxiously large and overdone. They could probably reduce the price by $5 by slimming down the packaging.VERDICT:-Lacks the amazing sound quality of the Bose Soundlink Mini (I've seen reviews stating they have the same sound quality), but is probably the better choice if you ever plan to take your speaker around. It's insanely loud for its size, has gread app support, and is pretty much lifeproof. I was a tiny bit let down by the lack of bass at full volume, but full volume is so loud I will hardly ever turn it up that loud. For $150, this speaker is 100% worth it."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Solid product","Style: Green Machine Edition",4,"Many reviews of portable speakers have this as a top consideration, which is why I did. It does suit a very cool, portable, solid, and multi-useful product.The sound is fine, not excellent. I'm a music guy, so others who aren't so discernible would be fine. Doesn't sound as good as my not-so-portable Bose; but therein lies the difference."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Red UE Boom 2","Style: Cherrybomb Edition",5,"This UE BOOM 2 is awesome. I ordered the Red one for my husband as a gift t o replace his beats pill. He loves it. I got the 2 year service protection plan with it and I also got him a case too since he is rough on stuff. We first saw the speaker at an AT&T store for about $20 more and it only came in one color (black). I am glad that I checked on Amazon and realized that there are other color options."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","These are not inexpensive, but you WILL NOT be disappointed. This is an amazing piece of technology","Style: BrainFreeze Edition",5,"This UE Boom 2 is possibly the best unit available for those looking for quality, ruggedness and style. As at home on a table in your living room as on a stump at your next camp out. Simply an amazing piece of technology. The UE Boom 2 some features that the original does not. Full IPX waterproof vs water resistant + more."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Really nice... if you're using the UE phone app.","Style: Phantom Edition",4,"A couple of points I haven't seen mentioned in anyone else's review...1 - The speaker is actually pretty slick, but only after you fire up the UE Android app. It offers you several audio presets, but to really hear it sing you need to tinker around with the equalizer. The speaker is muddy and under-whelming without it.2 - The equalizer only works while connected via Bluetooth. If you'd hoped to plug in a cable and get crisp tunes you're going to be disappointed. The speaker needs to connect wirelessly in order for the settings to have an effect. The second I click off my phone, or switch to another BT device, the defaults kick in and I'm back to muffled sound. Logitech says there's no work-around for this.3 - The UE app allows you to choose whether you want to send call audio and/or media audio to the speaker. Unfortunately, if both are turned off, the speaker disconnects and I lose the equalizer again. That means that whenever my phone reports a new text message, the audio I'm pushing via cable gets interrupted. I have to pause the music and restart it to resume playback.3 - The speaker powers off if it sits dormant for about 15min. I'm in a customer-service business and frequently have to pause my music to take a phone call or have a conversation. That means every time I sit back down, I have to power my speaker back up. No way to disable this feature.4 - Volume is terrific.5 - Battery life is exceptional.6 - Construction is solid and I don't fear incurring damage from this guy bouncing around my backpack.7 - Speaker must be stood upright, and sounds best when the keys are facing you. Would have been nice for Logitech to include a stand of some kind that would prevent knocking it over so easily, or at least let us lay it down.SUMMARY: It's a good addition to my traveling workstation, but some of the points made above have been mildly irritating. With the equalizer effects, I love this thing. Without that, I'd have felt cheated to pay so much for such mediocre sound (defaults)."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Love it","Style: BrainFreeze Edition",5,"Amazing sound. Insane battery life + waterproof. What more could one ask for! There more- I aboaultely Love the ue boom  app that lets you pair speakers+ Remotely switch on and off the speaker , set the equaliser and set an alarm through the speaker. Speaker phone needs some working on - there's some echoing ( I'm sure that'll be fixed son with an update). Would highly recommend this speaker"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Bluetooth Blast","Style: Phantom Edition",5,"After buying the two Rolls for travel.I was very pleased with this line of speakers.So I ordered one Boom 2.After listening to the Boom 2,I had to get another one so I can sync them and have one on each side of the bed.Great Sound and solid build makes me want to give this speaker a great review.Would recommend to anyone."
